"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1,SW2";"PinHeader_1x03_P2.54mm_Vertical";2;"SW_SPDT";;;
2;"H4,H3,H2,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
3;"R25";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"3.3k";;;
4;"R38,R6,R20,R31";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";4;"1k";;;
5;"C25";"CP_Radial_D8.0mm_P3.50mm";1;"10u";;;
6;"RV4,RV2,RV1,RV3,RV6";"PinHeader_1x03_P2.54mm_Vertical";5;"10k";;;
7;"R43";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"2.7k";;;
8;"R23,R24,RT1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";3;"100k";;;
9;"R22";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"47k";;;
10;"C15,C2,C18";"CP_Radial_D6.3mm_P2.50mm";3;"100u";;;
11;"U2,U1";"SOIC-14_3.9x8.7mm_P1.27mm";2;"TL074";;;
12;"R35";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10M";;;
13;"R44,R41,R42,R7,R11,R12,R17,R18,R28,R29";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";10;"10k";;;
14;"R36";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"100";;;
15;"R33";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"2.2k";;;
16;"R4,R5,R14,R30,R32,R39,R40";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"1k";;;
17;"C9,C7,C10,C6,C11,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"68n";;;
18;"R13,R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"47k";;;
19;"J1,J2,J3";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02_Female";;;
20;"RV5";"PinHeader_2x03_P2.54mm_Vertical";1;"100k";;;
21;"C21,C16,C23";"CP_Radial_D5.0mm_P2.00mm";3;"4.7u";;;
22;"C1,C14,C24";"CP_Radial_D5.0mm_P2.00mm";3;"10u";;;
23;"C3";"CP_Radial_D5.0mm_P2.00mm";1;"47u";;;
24;"C4,C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"220p";;;
25;"C5";"CP_Radial_D5.0mm_P2.00mm";1;"100u";;;
26;"C8,C12,C22";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"100n";;;
27;"C17";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"47n";;;
28;"C19";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1n";;;
29;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper";;;
30;"R1,R2,R9,R10,R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"100k";;;
31;"R3,R45";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"2.7k";;;
32;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1.8k";;;
33;"R15,R21";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"220k";;;
34;"R26";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"22k";;;
35;"R37";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3.3k";;;
36;"RT2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"10k";;;
